Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
1,12/18/11,7223,F,S,Y,2,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,$27.38
2,12/20/11,7841,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,$14.90
3,12/21/11,8374,F,M,N,2,$50K - $70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,$5.52
4,12/21/11,9619,M,M,Y,3,$30K - $50K,Portland,OR,USA,Food,Snacks,Candy,4,$4.44
5,12/22/11,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Drink,Beverages,Carbonated Beverages,4,$14.00
6,12/22/11,6696,F,M,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Deli,Side Dishes,3,$4.37
7,12/23/11,9673,M,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,4,$13.78
8,12/25/11,354,F,M,Y,2,$150K +,Yakima,WA,USA,Food,Canned Foods,Canned Soup,6,$7.34
9,12/25/11,1293,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Non-Consumable,Household,Cleaning Supplies,1,$2.41
10,12/25/11,7938,M,S,N,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,2,$8.96
11,12/26/11,9357,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,3,$11.82
12,12/26/11,3097,M,M,Y,1,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,$14.45
13,12/26/11,2741,M,S,N,3,$70K - $90K,Bellingham,WA,USA,Food,Canned Foods,Canned Tuna,4,$19.18
14,12/26/11,2032,F,M,N,3,$10K - $30K,Yakima,WA,USA,Non-Consumable,Household,Plastic Products,4,$19.50
15,12/27/11,6651,M,S,N,0,$30K - $50K,Portland,OR,USA,Food,Produce,Fruit,5,$13.06
16,12/27/11,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$12.42
17,12/27/11,6161,F,S,N,1,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Meat,5,$17.65
18,12/28/11,5717,F,S,N,0,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,$8.74
19,12/28/11,354,F,M,Y,2,$150K +,Yakima,WA,USA,Drink,Dairy,Dairy,5,$7.75
20,12/28/11,3458,F,S,N,5,$10K - $30K,San Diego,CA,USA,Drink,Beverages,Drinks,5,$6.66
21,12/29/11,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,4,$17.92
22,12/29/11,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Food,Produce,Fruit,5,$12.64
23,12/29/11,9795,M,S,N,2,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,5,$14.48
24,12/29/11,4543,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Deli,Meat,4,$4.21
25,12/29/11,3386,F,M,Y,4,$30K - $50K,San Diego,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$14.78
26,12/30/11,5005,M,M,N,2,$30K - $50K,San Francisco,CA,USA,Food,Produce,Fruit,2,$4.49
27,12/30/11,1918,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,$13.41
28,12/30/11,5801,M,S,N,2,$50K - $70K,San Diego,CA,USA,Non-Consumable,Checkout,Hardware,5,$3.42
29,12/30/11,3196,M,S,N,2,$50K - $70K,Salem,OR,USA,Food,Produce,Fruit,2,$10.80
30,12/31/11,9554,M,M,Y,3,$70K - $90K,Salem,OR,USA,Food,Deli,Meat,4,$8.64
31,12/31/11,2670,F,S,Y,0,$70K - $90K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,$21.62
32,12/31/11,7902,M,M,Y,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,6,$8.74
33,12/31/11,8466,M,M,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Seafood,Seafood,4,$16.51
34,12/31/11,1953,F,S,N,1,$70K - $90K,Beverly Hills,CA,USA,Food,Produce,Vegetables,3,$1.43
35,12/31/11,7617,F,M,N,3,$10K - $30K,Portland,OR,USA,Non-Consumable,Household,Electrical,4,$10.94
36,01/01/12,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Fruit,2,$8.42
37,01/01/12,6510,F,M,Y,0,$50K - $70K,Salem,OR,USA,Food,Produce,Vegetables,5,$7.23
38,01/01/12,7570,M,M,Y,4,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$6.07
39,01/01/12,4686,F,S,N,2,$50K - $70K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,5,$11.90
40,01/01/12,6207,M,M,N,1,$30K - $50K,Los Angeles,CA,USA,Drink,Dairy,Dairy,5,$13.16
41,01/01/12,1161,M,S,N,5,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,5,$14.05
42,01/02/12,8746,F,S,N,3,$30K - $50K,Yakima,WA,USA,Non-Consumable,Household,Kitchen Products,6,$13.78
43,01/02/12,9736,M,S,N,3,$70K - $90K,Seattle,WA,USA,Food,Deli,Side Dishes,5,$26.22
44,01/02/12,1634,F,M,Y,1,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,$8.58
45,01/02/12,6253,F,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Baked Goods,Bread,4,$15.60
46,01/02/12,4239,F,S,Y,4,$50K - $70K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.39
47,01/03/12,6960,F,M,Y,3,$150K +,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,$16.37
48,01/03/12,9812,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,5,$24.38
49,01/04/12,4279,F,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,4,$9.23
50,01/04/12,1940,F,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$10.85
51,01/04/12,3799,F,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,$14.87
52,01/04/12,566,M,S,N,5,$10K - $30K,Walla Walla,WA,USA,Food,Produce,Vegetables,2,$3.53
53,01/04/12,5125,F,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,6,$10.21
54,01/04/12,10026,F,S,N,3,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,$10.07
55,01/05/12,2533,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Meat,5,$14.52
56,01/05/12,7733,M,S,Y,5,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Hardware,4,$40.83
57,01/05/12,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,$2.94
58,01/05/12,3490,F,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Dairy,Dairy,3,$23.13
59,01/05/12,9125,M,S,N,3,$50K - $70K,Salem,OR,USA,Food,Produce,Specialty,3,$17.95
60,01/05/12,10070,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,3,$6.88
61,01/05/12,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,5,$6.20
62,01/06/12,1596,M,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,3,$2.78
63,01/07/12,8248,M,S,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Sardines,6,$14.96
64,01/07/12,3197,F,S,N,5,$50K - $70K,Yakima,WA,USA,Food,Produce,Fruit,5,$34.56
65,01/07/12,2061,M,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Baked Goods,Bread,5,$11.05
66,01/07/12,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Non-Consumable,Checkout,Miscellaneous,4,$6.28
67,01/07/12,760,F,S,Y,0,$150K +,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,5,$4.79
68,01/08/12,753,F,S,Y,1,$90K - $110K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,3,$7.28
69,01/08/12,2327,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$11.04
70,01/08/12,7576,F,M,Y,1,$50K - $70K,Salem,OR,USA,Food,Baked Goods,Bread,5,$5.67
71,01/08/12,864,F,S,Y,3,$90K - $110K,San Diego,CA,USA,Food,Meat,Meat,5,$16.39
72,01/08/12,8593,M,M,Y,2,$110K - $130K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$4.29
73,01/08/12,711,F,M,Y,2,$30K - $50K,Tacoma,WA,USA,Food,Canned Foods,Canned Sardines,4,$23.58
74,01/08/12,6460,M,M,N,2,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Soup,4,$21.47
75,01/09/12,1216,M,S,N,1,$70K - $90K,Tacoma,WA,USA,Food,Produce,Fruit,3,$5.35
76,01/09/12,2997,M,M,N,4,$10K - $30K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,6,$17.57
77,01/09/12,4925,F,S,Y,0,$50K - $70K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,$35.26
78,01/09/12,2198,F,S,Y,3,$50K - $70K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,3,$17.28
79,01/09/12,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$8.35
80,01/09/12,2390,F,M,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,3,$11.04
81,01/10/12,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,$17.52
82,01/10/12,7354,F,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,6,$16.05
83,01/10/12,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Non-Consumable,Household,Hardware,5,$25.27
